code,city_clean,state,label
DLH,Duluth,Minnesota,Duluth (DLH)
DRO,Durango,Colorado,Durango (DRO)
EGE,Eagle,Colorado,Eagle (EGE)
ELP,El Paso,Texas,El Paso (ELP)
EKO,Elko,Nevada,Elko (EKO)
ELM,Elmira/Corning,New York,Elmira/Corning (ELM)
ESC,Escanaba,Michigan,Escanaba (ESC)
EUG,Eugene,Oregon,Eugene (EUG)
EVV,Evansville,Indiana,Evansville (EVV)
PAE,Everett,Washington,Everett (PAE)
FAI,Fairbanks,Alaska,Fairbanks (FAI)
FAR,Fargo,North Dakota,Fargo (FAR)
FAY,Fayetteville,North Carolina,Fayetteville (FAY)
XNA,Fayetteville,Arkansas,Fayetteville (XNA)
FLG,Flagstaff,Arizona,Flagstaff (FLG)
FNT,Flint,Michigan,Flint (FNT)
FOD,Fort Dodge,Iowa,Fort Dodge (FOD)
FLL,Fort Lauderdale,Florida,Fort Lauderdale (FLL)
RSW,Fort Myers,Florida,Fort Myers (RSW)
FSM,Fort Smith,Arkansas,Fort Smith (FSM)
FWA,Fort Wayne,Indiana,Fort Wayne (FWA)
FAT,Fresno,California,Fresno (FAT)
GNV,Gainesville,Florida,Gainesville (GNV)
GCK,Garden City,Kansas,Garden City (GCK)
GCC,Gillette,Wyoming,Gillette (GCC)
GFK,Grand Forks,North Dakota,Grand Forks (GFK)
GRI,Grand Island,Nebraska,Grand Island (GRI)
GJT,Grand Junction,Colorado,Grand Junction (GJT)
GRR,Grand Rapids,Michigan,Grand Rapids (GRR)
GTF,Great Falls,Montana,Great Falls (GTF)
GRB,Green Bay,Wisconsin,Green Bay (GRB)
GSO,Greensboro/High Point,North Carolina,Greensboro/High Point (GSO)
GSP,Greer,South Carolina,Greer (GSP)
GUM,Guam,U.S. Pacific Trust Territories and Possessions,Guam (GUM)
GPT,Gulfport/Biloxi,Mississippi,Gulfport/Biloxi (GPT)
GUC,Gunnison,Colorado,Gunnison (GUC)
HGR,Hagerstown,Maryland,Hagerstown (HGR)
CMX,Hancock/Houghton,Michigan,Hancock/Houghton (CMX)
HRL,Harlingen/San Benito,Texas,Harlingen/San Benito (HRL)
MDT,Harrisburg,Pennsylvania,Harrisburg (MDT)
BDL,Hartford,Connecticut,Hartford (BDL)
PIB,Hattiesburg/Laurel,Mississippi,Hattiesburg/Laurel (PIB)
HDN,Hayden,Colorado,Hayden (HDN)
HYS,Hays,Kansas,Hays (HYS)
HLN,Helena,Montana,Helena (HLN)
HIB,Hibbing,Minnesota,Hibbing (HIB)
ITO,Hilo,Hawaii,Hilo (ITO)
HHH,Hilton Head,South Carolina,Hilton Head (HHH)
HNL,Honolulu,Hawaii,Honolulu (HNL)
HOU,Houston,Texas,Houston (HOU)
IAH,Houston,Texas,Houston (IAH)
HSV,Huntsville,Alabama,Huntsville (HSV)
IDA,Idaho Falls,Idaho,Idaho Falls (IDA)
IND,Indianapolis,Indiana,Indianapolis (IND)
INL,International Falls,Minnesota,International Falls (INL)
IMT,Iron Mountain/Kingsfd,Michigan,Iron Mountain/Kingsfd (IMT)
ISP,Islip,New York,Islip (ISP)
ITH,Ithaca/Cortland,New York,Ithaca/Cortland (ITH)
JAC,Jackson,Wyoming,Jackson (JAC)
JAN,Jackson/Vicksburg,Mississippi,Jackson/Vicksburg (JAN)
JAX,Jacksonville,Florida,Jacksonville (JAX)
OAJ,Jacksonville/Camp Lejeune,North Carolina,Jacksonville/Camp Lejeune (OAJ)
JMS,Jamestown,North Dakota,Jamestown (JMS)
JST,Johnstown,Pennsylvania,Johnstown (JST)
JLN,Joplin,Missouri,Joplin (JLN)
JNU,Juneau,Alaska,Juneau (JNU)
OGG,Kahului,Hawaii,Kahului (OGG)
AZO,Kalamazoo,Michigan,Kalamazoo (AZO)
FCA,Kalispell,Montana,Kalispell (FCA)
MCI,Kansas City,Missouri,Kansas City (MCI)
KTN,Ketchikan,Alaska,Ketchikan (KTN)
EYW,Key West,Florida,Key West (EYW)
GRK,Killeen,Texas,Killeen (GRK)
TYS,Knoxville,Tennessee,Knoxville (TYS)
ADQ,Kodiak,Alaska,Kodiak (ADQ)
KOA,Kona,Hawaii,Kona (KOA)
