origin,dest,op_unique_carrier,month,time_bucket,total_flights,delayed_flights,avg_delay_min,weather_delayed,cancelled,origin_city,dest_city,delay_rate,weather_delay_rate
AMA,DAL,WN,1,afternoon,5,1,27.0,0,0,"Amarillo, TX","Dallas, TX",0.2,0.0
AMA,DAL,WN,1,evening,5,0,0.0,0,0,"Amarillo, TX","Dallas, TX",0.0,0.0
AMA,DAL,WN,1,morning,9,0,0.0,0,1,"Amarillo, TX","Dallas, TX",0.0,0.0
AMA,DEN,OO,1,morning,5,0,0.0,0,0,"Amarillo, TX","Denver, CO",0.0,0.0
AMA,DEN,WN,1,afternoon,4,1,16.0,0,1,"Amarillo, TX","Denver, CO",0.25,0.0
AMA,DFW,AA,1,evening,4,0,0.0,0,0,"Amarillo, TX","Dallas/Fort Worth, TX",0.0,0.0
AMA,DFW,AA,1,morning,6,2,243.5,0,0,"Amarillo, TX","Dallas/Fort Worth, TX",0.3333,0.0
AMA,DFW,MQ,1,afternoon,11,2,40.0,0,1,"Amarillo, TX","Dallas/Fort Worth, TX",0.1818,0.0
AMA,DFW,MQ,1,morning,5,0,0.0,0,1,"Amarillo, TX","Dallas/Fort Worth, TX",0.0,0.0
AMA,DFW,MQ,1,red_eye,5,0,0.0,0,0,"Amarillo, TX","Dallas/Fort Worth, TX",0.0,0.0
AMA,IAH,OO,1,morning,4,0,0.0,0,0,"Amarillo, TX","Houston, TX",0.0,0.0
AMA,LAS,WN,1,afternoon,5,1,63.0,0,0,"Amarillo, TX","Las Vegas, NV",0.2,0.0
ANC,ADK,AS,1,morning,0,0,0.0,0,2,"Anchorage, AK","Adak Island, AK",,
ANC,ADQ,AS,1,evening,4,1,73.0,0,2,"Anchorage, AK","Kodiak, AK",0.25,0.0
ANC,ADQ,AS,1,morning,3,0,0.0,0,0,"Anchorage, AK","Kodiak, AK",0.0,0.0
ANC,BET,AS,1,evening,5,1,32.0,0,0,"Anchorage, AK","Bethel, AK",0.2,0.0
ANC,BET,AS,1,morning,5,1,53.0,0,0,"Anchorage, AK","Bethel, AK",0.2,0.0
ANC,BRW,AS,1,afternoon,4,3,52.7,0,1,"Anchorage, AK","Barrow, AK",0.75,0.0
ANC,CDV,AS,1,afternoon,5,3,37.7,0,0,"Anchorage, AK","Cordova, AK",0.6,0.0
ANC,DEN,UA,1,night,5,0,0.0,0,0,"Anchorage, AK","Denver, CO",0.0,0.0
ANC,DFW,AA,1,evening,6,0,0.0,0,0,"Anchorage, AK","Dallas/Fort Worth, TX",0.0,0.0
ANC,FAI,AS,1,night,6,0,0.0,0,0,"Anchorage, AK","Fairbanks, AK",0.0,0.0
ANC,HNL,AS,1,evening,5,0,0.0,0,1,"Anchorage, AK","Honolulu, HI",0.0,0.0
ANC,JNU,AS,1,evening,5,1,47.0,0,0,"Anchorage, AK","Juneau, AK",0.2,0.0
ANC,JNU,AS,1,morning,11,2,41.0,1,0,"Anchorage, AK","Juneau, AK",0.1818,0.0909
ANC,KOA,AS,1,afternoon,2,1,17.0,0,1,"Anchorage, AK","Kona, HI",0.5,0.0
ANC,LAS,AS,1,night,1,0,0.0,0,0,"Anchorage, AK","Las Vegas, NV",0.0,0.0
ANC,LAX,AS,1,red_eye,6,1,34.0,0,0,"Anchorage, AK","Los Angeles, CA",0.1667,0.0
ANC,MSP,DL,1,evening,4,1,25.0,0,0,"Anchorage, AK","Minneapolis, MN",0.25,0.0
ANC,OGG,AS,1,afternoon,3,0,0.0,0,0,"Anchorage, AK","Kahului, HI",0.0,0.0
ANC,OME,AS,1,afternoon,5,1,20.0,0,0,"Anchorage, AK","Nome, AK",0.2,0.0
ANC,ORD,AS,1,night,2,0,0.0,0,0,"Anchorage, AK","Chicago, IL",0.0,0.0
ANC,ORD,UA,1,night,5,1,228.0,0,0,"Anchorage, AK","Chicago, IL",0.2,0.0
ANC,PDX,AS,1,red_eye,4,1,19.0,0,0,"Anchorage, AK","Portland, OR",0.25,0.0
ANC,PHX,AS,1,night,6,1,49.0,0,0,"Anchorage, AK","Phoenix, AZ",0.1667,0.0
ANC,SCC,AS,1,afternoon,0,0,0.0,0,2,"Anchorage, AK","Deadhorse, AK",,
ANC,SCC,AS,1,red_eye,3,0,0.0,0,2,"Anchorage, AK","Deadhorse, AK",0.0,0.0
ANC,SEA,AS,1,afternoon,15,5,60.0,1,1,"Anchorage, AK","Seattle, WA",0.3333,0.0667
ANC,SEA,AS,1,evening,10,5,41.2,0,0,"Anchorage, AK","Seattle, WA",0.5,0.0
