op_unique_carrier,origin,dest,dep_hour,flights
NK,MCO,MHT,6,3
NK,MCO,MHT,16,2
NK,MCO,MKE,20,5
NK,MCO,MSY,13,3
NK,MCO,MSY,17,5
NK,MCO,MSY,23,3
NK,MCO,MYR,8,2
NK,MCO,MYR,10,2
NK,MCO,MYR,17,2
NK,MCO,ORD,17,6
NK,MCO,ORD,21,4
NK,MCO,ORF,8,6
NK,MCO,PHL,10,6
NK,MCO,PHL,13,2
NK,MCO,PHL,16,3
NK,MCO,PHL,21,3
NK,MCO,PIT,14,6
NK,MCO,PIT,15,3
NK,MCO,PIT,17,2
NK,MCO,PIT,18,2
NK,MCO,PNS,9,4
NK,MCO,RIC,9,6
NK,MCO,ROC,6,2
NK,MCO,ROC,12,2
NK,MCO,SAT,9,2
NK,MCO,SAT,15,4
NK,MCO,SDF,20,5
NK,MCO,SJU,10,3
NK,MCO,SJU,17,3
NK,MCO,SJU,22,9
NK,MCO,SJU,23,6
NK,MCO,SLC,8,2
NK,MCO,SLC,14,3
NK,MCO,STL,15,4
NK,MCO,STT,8,6
NK,MCO,STT,11,6
NK,MEM,LAX,14,2
NK,MEM,LAX,20,4
NK,MEM,MCO,5,6
NK,MHT,MCO,10,3
NK,MHT,MCO,20,2
NK,MIA,ATL,5,5
NK,MIA,BNA,17,6
NK,MIA,BOS,15,6
NK,MIA,BWI,5,3
NK,MIA,BWI,15,3
NK,MIA,CLE,17,6
NK,MIA,CLT,6,6
NK,MIA,DEN,7,6
NK,MIA,DFW,17,6
NK,MIA,DFW,22,6
NK,MIA,DTW,21,6
NK,MIA,EWR,11,6
NK,MIA,EWR,18,6
NK,MIA,IAH,7,3
NK,MIA,LAS,6,6
NK,MIA,LGA,12,6
NK,MIA,LGA,14,6
NK,MIA,MSP,14,6
NK,MIA,MSY,16,2
NK,MIA,MSY,19,3
NK,MIA,ORD,13,6
NK,MIA,ORD,21,6
NK,MIA,PHL,21,6
NK,MIA,PIT,6,6
NK,MIA,SJU,16,6
NK,MKE,LAS,15,2
NK,MKE,LAS,20,3
NK,MKE,MCO,7,5
NK,MSP,ATL,18,6
NK,MSP,DTW,10,4
NK,MSP,LAS,22,4
NK,MSP,MIA,9,6
NK,MSY,ATL,10,7
NK,MSY,ATL,17,2
NK,MSY,DFW,10,6
NK,MSY,FLL,6,5
NK,MSY,FLL,18,3
NK,MSY,FLL,21,2
NK,MSY,IAH,22,2
NK,MSY,LAS,20,3
NK,MSY,LAS,21,3
NK,MSY,LAX,15,6
NK,MSY,MCO,6,3
NK,MSY,MCO,15,2
NK,MSY,MCO,16,2
NK,MSY,MCO,19,4
NK,MSY,MIA,12,2
NK,MSY,MIA,15,3
NK,MSY,TPA,10,6
NK,MYR,BOS,15,5
NK,MYR,EWR,9,5
NK,MYR,EWR,14,6
NK,MYR,FLL,8,6
NK,MYR,LGA,21,6
NK,MYR,MCO,11,2
NK,MYR,MCO,12,2
NK,MYR,MCO,19,2
NK,OAK,EWR,22,4
NK,OAK,LAS,5,2
NK,OAK,LAS,11,2
NK,OAK,LAS,12,2
NK,OAK,LAS,18,3
NK,OAK,LAS,20,4
NK,OAK,LAX,6,6
NK,OAK,SAN,17,3
NK,OAK,SNA,13,6
NK,ORD,ATL,20,5
NK,ORD,CLT,7,5
NK,ORD,DFW,6,6
NK,ORD,FLL,5,5
NK,ORD,FLL,10,5
NK,ORD,FLL,19,12
NK,ORD,IAH,5,2
NK,ORD,IAH,7,4
NK,ORD,LAS,9,6
NK,ORD,LAS,18,4
